congress|bill_number|bill_type|policy_area|sponsor_name|sponsor_lastname|sponsor_state|sponsor_party
111|6523|hr|Armed Forces and National Security|IKE|SKELTON|MO|D
111|6561|hr|Social Sciences and History|Laura|Richardson|CA|D
111|81|hr|Public Lands and Natural Resources|Madeleine|Bordallo|GU|D
111|6533|hr|Science, Technology, Communications|MIKE|DOYLE|PA|D
111|6510|hr|Public Lands and Natural Resources|SHEILA|JACKSON LEE|TX|D
111|6412|hr|Crime and Law Enforcement|Robert|Scott|VA|D
111|6400|hr|Government Operations and Politics|WM.|CLAY|MO|D
111|6392|hr|Government Operations and Politics|FRANK|WOLF|VA|R
111|628|hr|Law|DARRELL|ISSA|CA|R
111|5901|hr|Taxation|JOSEPH|CROWLEY|NY|D
111|5877|hr|Government Operations and Politics|MICHAEL|CAPUANO|MA|D
111|5809|hr|Crime and Law Enforcement|JAY|INSLEE|WA|D
111|5655|hr|Government Operations and Politics|Kendrick|Meek|FL|D
111|5606|hr|Government Operations and Politics|Mark|Critz|PA|D
111|5605|hr|Government Operations and Politics|Mark|Critz|PA|D
111|5470|hr|Energy|FRANK|PALLONE|NJ|D
111|5133|hr|Government Operations and Politics|STEVEN|ROTHMAN|NJ|D
111|5116|hr|Science, Technology, Communications|BART|GORDON|TN|D
111|4973|hr|Public Lands and Natural Resources|Frank|Kratovil|MD|D
111|4748|hr|Crime and Law Enforcement|William|Owens|NY|D
111|4602|hr|Government Operations and Politics|John|Boccieri|OH|D
111|4445|hr|Native Americans|Martin|Heinrich|NM|D
111|2751|hr|Transportation and Public Works|Betty|Sutton|OH|D
111|2142|hr|Government Operations and Politics|Henry|Cuellar|TX|D
111|1746|hr|Emergency Management|JAMES|OBERSTAR|MN|D
111|1107|hr|Government Operations and Politics|JOHN|CONYERS|MI|D
111|847|hr|Health|CAROLYN|MALONEY|NY|D
111|6517|hr|Foreign Trade and International Finance|SANDER|LEVIN|MI|D
111|6398|hr|Finance and Financial Sector|LLOYD|DOGGETT|TX|D
111|6540|hr|Armed Forces and National Security|JAY|INSLEE|WA|D
111|6520|hr|Armed Forces and National Security|Patrick|Murphy|PA|D
111|6516|hr|Transportation and Public Works|JAMES|OBERSTAR|MN|D
111|6473|hr|Transportation and Public Works|JAMES|OBERSTAR|MN|D
111|6278|hr|Government Operations and Politics|ELEANOR|NORTON|DC|D
111|6198|hr|Finance and Financial Sector|JOHN|CONYERS|MI|D
111|5591|hr|Transportation and Public Works|Cathy|McMorris Rodgers|WA|R
111|4337|hr|Taxation|CHARLES|RANGEL|NY|D
111|3082|hr|Armed Forces and National Security|CHET|EDWARDS|TX|D
111|2965|hr|Commerce|Jason|Altmire|PA|D
111|2941|hr|Health|ROSA|DELAURO|CT|D
111|1061|hr|Native Americans|NORMAN|DICKS|WA|D
111|6560|hr|Law|Henry|Johnson|GA|D
