congress|bill_number|bill_type|text|economic|socio_cultural
115|1308|hr|   Frank and Jeanne Moore Wild Steelhead Special Management Area Designation Act      This bill designates approximately 99,653 acres of Forest Service land in Oregon as the  Frank and Jeanne Moore Wild Steelhead Special Management Area.  |Non-Economic|Socio-Cultural
115|4105|hr|  This bill extends funding through FY2022 for the Department of Health and Human Services to award grants to states and certain other entities for demonstration projects that address health-professions workforce needs.  |Economic|Non-Socio-Cultural
115|3691|s|   Expanding Transparency of Information and Safeguarding Toxics (EtO is Toxic) Act of 2018    This bill updates requirements for chemicals that pose an adverse public health risk. Specifically, the bill requires the Environmental Protection Agency (EPA) to publish an updated National Air Toxics Assessment once every two years. The assessment uses emissions data to estimate health risks from toxic air pollutants.    The bill also requires the EPA to use data from its Integrated Risk Information System when conducting rulemaking with respect to chemicals that have been assessed in the system. For chemicals that are found to pose an adverse health risk, the EPA shall identify and do additional review on facilities that are significant sources of the chemical to determine whether the facility poses an adverse public health risk.   Under the bill, chemicals identified as carcinogenic in the system must have a toxic chemical release form completed by the owner or operator of a facility.   The bill requires the Department of Health and Human Services (HHS) to consult with appropriate EPA offices regarding the future schedule of assessments of chemicals to be conducted under the system, the results or existing assessments, and concerns that may merit additional review. HHS must also administer personal exposure tests for chemicals that pose a new adverse public health risk to vulnerable populations, such as children. HHS must establish a Community Outreach Division to communicate risk assessments to affected communities. |Non-Economic|Socio-Cultural
111|1994|hr|  Citizen Soldier Equality Act of 2009 - Requires that, in the case of a member of the reserves who is retired or placed on the temporary disability retired list because of an incurred disability for which the member is awarded the Purple Heart, the member shall be credited with the number of years of service that would be counted under the computation of years of service for retired pay for non-regular service. |Economic|Socio-Cultural
111|883|hr| Amends the Internal Revenue Code to repeal, effective January 1, 2009, the 1993 increase in income taxes on Social Security benefits.|Economic|Socio-Cultural
115|730|s|  This bill authorizes the Federal Energy Regulatory Commission (FERC), upon request, to extend by six years the time period during which construction must commence on the Gathright Hydroelectric Project located in Alleghany County, Virginia, and the Flannagan Dam and Reservoir Hydroelectric Project located in Dickenson County, Virginia.   Additionally, FERC may reinstate either construction license if it is expired. |Economic|Non-Socio-Cultural
111|2855|s|  Credit Retains Employees And Triggers Economic Growth and Jobs Act of 2009 or the CREATE Growth and Jobs Act - Authorizes the Administrator of the Small Business Administration (SBA) to make a loan of up to $1.5 million for operation, acquisition, or expansion of an eligible small business concern that is fiscally sound and creditworthy but is not able to obtain credit elsewhere.   Sets forth maximum loan terms and conditions. Limits the total of such loans in any fiscal year to $10 billion.   Makes certain funds under the Troubled Asset Relief Program (TARP) of the Emergency Economic Stabilization Act of 2008 (EESA) available to implement this Act.              |Economic|Non-Socio-Cultural
111|22|hr|  Requires government contributions for health benefits for an individual who first becomes an annuitant by reason of retirement from employment with the United States Postal Service on or after July 1, 1971, or for a survivor of such an individual or of an individual who died on or after that date while employed by the Postal Service, to be paid first from the Postal Service Retiree Health Benefits Fund up to the amount contained in the Fund, with any remaining amount paid by the Postal Service (current law requires such contributions to be paid by the Postal Service through September 30, 2016). |Economic|Non-Socio-Cultural
111|5619|hr|  Amends the SAFE Port Act to make non-asset based third party logistics providers who arrange international transportation of freight (including motor carrier brokers of property licensed by the Department of Transportation [DOT] ) eligible to enter into partnership with DOT under the Customs-Trade Partnership Against Terrorism (C-TPAT) program to strengthen overall security of the international supply chain and U.S. border.  |Economic|Non-Socio-Cultural
115|2575|s|"   Audiology Patient Choice Act of 2018    This bill amends expands the definition of ""physician,"" for purposes of the Medicare program, to include an audiologist with respect to the furnishing of audiology services.   Additionally, the bill expands the scope of audiology services covered under Medicare and allows payment for such services regardless of whether an enrollee is under the care of (or referred by) a physician or other health care provider or whether the services are provided under the supervision of a physician or other health care provider. "|Non-Economic|Socio-Cultural
